codigo,codigo_dpto,codigo_mun,dpto,mun,metota,mesesc,pmesesc,meserr,centota,carg,cargElectos,cargEmpatados,cargtota,votant,pvotant,absten,pabsten,votnul,pvotnul,votnma,pvotnma,FEDERICO_GUTIÉRREZ_vot,FEDERICO_GUTIÉRREZ_pvot,RODOLFO_HERNÁNDEZ_vot,RODOLFO_HERNÁNDEZ_pvot,GUSTAVO_PETRO_vot,GUSTAVO_PETRO_pvot,SERGIO_FAJARDO_vot,SERGIO_FAJARDO_pvot,JOHN MILTON_RODRÍGUEZ_vot,JOHN MILTON_RODRÍGUEZ_pvot,ENRIQUE_GÓMEZ MARTÍNEZ_vot,ENRIQUE_GÓMEZ MARTÍNEZ_pvot,LUIS_PÉREZ_vot,LUIS_PÉREZ_pvot,INGRID_BETANCOURT_vot,INGRID_BETANCOURT_pvot,cod2,dane
1500121,12,6,CUNDINAMARCA,GUATAQUI,7,7,100,0,2681,0,0,0,0,1255,46.81,1426,53.18,17,1.35,4,0.31,319,25.85,419,33.95,444,35.98,20,1.62,10,0.81,7,0.56,0,0,0,0,15121,25324
1500124,16,8,CUNDINAMARCA,GUATAVITA,14,14,100,0,5469,0,0,0,0,3897,71.25,1572,28.74,34,0.87,7,0.17,338,8.76,2540,65.87,734,19.03,145,3.76,15,0.38,10,0.25,0,0,3,0.07,15124,25326
8800410,19,5,CONSULADOS,GUATEMALA,9,9,100,0,1744,0,0,0,0,930,53.32,814,46.67,1,0.10,0,0,526,56.62,154,16.57,147,15.82,80,8.61,6,0.64,4,0.43,2,0.21,0,0,88410,27810
0700106,15,9,BOYACA,GUATEQUE,24,24,100,0,9020,0,0,0,0,5384,59.68,3636,40.31,70,1.30,5,0.09,646,12.16,2920,55.00,1419,26.72,195,3.67,37,0.69,11,0.20,1,0.01,2,0.03,07106,15322
2400029,12,7,RISARALDA,GUATICA,29,29,100,0,10732,0,0,0,0,5742,53.5,4990,46.49,117,2.03,34,0.59,1666,29.79,2443,43.69,1197,21.40,143,2.55,22,0.39,11,0.19,2,0.03,6,0.10,24029,66318
2700103,15,8,SANTANDER,GUAVATA,12,12,100,0,4604,0,0,0,0,2738,59.47,1866,40.52,15,0.54,1,0.03,174,6.39,1866,68.55,629,23.10,24,0.88,11,0.40,1,0.03,0,0,1,0.03,27103,68324
1500127,14,7,CUNDINAMARCA,GUAYABAL DE SIQUIMA,11,11,100,0,4164,0,0,0,0,2642,63.44,1522,36.55,22,0.83,4,0.15,467,17.85,1355,51.79,618,23.62,94,3.59,23,0.87,5,0.19,0,0,1,0.03,15127,25328
1500128,12,7,CUNDINAMARCA,GUAYABETAL,13,13,100,0,4764,0,0,0,0,3138,65.86,1626,34.13,23,0.73,5,0.15,251,8.07,2270,72.99,520,16.72,29,0.93,13,0.41,1,0.03,0,0,4,0.12,15128,25335
0700109,11,5,BOYACA,GUAYATA,10,10,100,0,3836,0,0,0,0,2319,60.45,1517,39.54,7,0.30,6,0.25,357,15.48,1522,66.00,321,13.92,58,2.51,3,0.13,9,0.39,3,0.13,1,0.04,07109,15325
2700106,16,6,SANTANDER,GUEPSA,11,11,100,0,4298,0,0,0,0,2515,58.51,1783,41.48,14,0.55,2,0.07,92,3.68,1806,72.26,568,22.72,10,0.40,4,0.16,2,0.08,1,0.04,0,0,27106,68327
0700112,22,8,BOYACA,GUICAN,11,11,100,0,3081,0,0,0,0,1651,53.58,1430,46.41,34,2.05,3,0.18,332,20.57,661,40.95,522,32.34,38,2.35,5,0.30,9,0.55,2,0.12,6,0.37,07112,15332
1500130,10,5,CUNDINAMARCA,GUTIERREZ,8,8,100,0,2785,0,0,0,0,1910,68.58,875,31.41,1,0.05,4,0.20,182,9.55,1471,77.21,217,11.39,20,1.04,2,0.10,6,0.31,0,0,1,0.05,15130,25339
2500043,18,11,NORTE DE SAN,HACARI,24,24,100,0,7851,0,0,0,0,3218,40.98,4633,59.01,24,0.74,14,0.43,145,4.55,750,23.58,2201,69.21,27,0.84,11,0.34,10,0.31,1,0.03,1,0.03,25043,54344
